name,location,code
남산,강원도 삼척시 남양동 ,422301101
남산,강원도 홍천군 홍천읍 ,427201101
남산,강원도 정선군 북평면 ,427701701
남산,강원도 인제군 남면 ,428105501
남산,충청북도 보은군  ,437202401
남산,충청남도 금산군 금산읍 ,447100501
남산,충청남도 서천군 서천읍 ,447700301
남산,충청남도 홍성군 홍성읍 ,448000401
남산,전라북도 군산시 서수면 ,451301101
남산,전라남도 순천시 상사면 ,461500501
남산,전라남도 담양군  ,467102501
남산,전라남도 무안군 무안읍 ,468400501
남산,경상북도 청도군 화양읍 ,478200601
남산,경상남도 의령군 의령읍 ,487204201
남산_남선공원,대전광역시 서구  ,301700201
남산골,충청북도 진천군  ,437501704
남산근린공원,경상북도 상주시 신봉동 ,472504904
남산봉,제주도 서귀포시 성산읍 ,491300501
남산산림욕장,강원도 평창군 평창읍 ,427605504
남산숲길,경상남도 합천군 가야면 ,488906604
남송이,제주도 서귀포시  ,491301504
남암산,울산광역시 울주군 청량면 ,317100701
남원중뒷산,전라북도 남원시  ,451904104
남이장군로,경상북도 영양군 영양읍 ,477602104
남전산,강원도 정선군 동면 ,427701801
남포둘릴산,충청남도 보령시  ,441803301
남한산성,경기도 광주시 중부면 ,416102804
낭끼,제주도 서귀포시  ,491301604
낭도산,전라남도 여수시 화정면 ,461300601
내곡동,강원도 강릉시 내곡동 ,421500204
내동산,전라북도 진안군 성수면 ,457200501
내산,충청남도 청양군 청남면 ,447900401
내상산,충청남도 예산군  ,448102801
내연산,경상북도 포항시 송라면 ,471100801
내영산,전라남도 나주시  ,461703101
내포리야산,경상남도 창원시마산합포구 구산면 ,481101004
내현리산,강원도 양양군 서면 ,428305801
냉산,경상북도 구미시 도개면 ,471900301
넉시오름,제주도 서귀포시  ,491301704
넓적바위산,전라남도 장성군  ,468800901
넙게오름,제주도 서귀포시  ,491301804
노고산,대전광역시 동구  ,301102401
노고산,경기도 고양시덕양구 효자동 ,412800301
노꼬메큰오름,제주도 제주시 애월읍 ,491100201
노랭이봉,전라남도 광양시  ,462301701
노로오름,제주도 제주시  ,491101904
노루생태공원,제주도 제주시  ,491100403
노루손이오름,제주도 제주시  ,491100503
노릿재,전라남도 강진군 성전면 ,468102904
노목산,강원도 정선군 사북읍 ,427701901
노상산,울산광역시 울주군 삼동면 ,317100901
노성산,경기도 이천시 설성면 ,415003501
노성산,강원도 평창군 평창읍 ,427600801
노성산,충청남도 논산시 노성면 ,442300601
노악산,경상북도 상주시  ,472500901
노인봉,경상북도 봉화군  ,479205101
노인산,강원도 고성군 거진읍 ,428200801
노자산,경상남도 거제시 동부면 ,483101001
노적봉,경기도 안산시  ,412700201
노적봉,경상북도 포항시 효곡동 ,471100901
노적산,인천광역시 옹진군  ,287201701
노적산,충청남도 연기군 동면 ,447300601
노적산,충청남도 연기군 남면 ,447302801
노추산,강원도 강릉시 왕산면 ,421501001
노태산,충청남도 천안시 부성동 ,441300501
노화도큰산,전라남도 완도군  ,468902101
녹남봉,제주도 서귀포시  ,491301904
녹두봉,충청남도 금산군  ,447103301
녹번동근린공원,서울특별시 은평구  ,113800404
논오름,제주도 서귀포시  ,491302004
뇌성산,경상북도 포항시 구룡포읍 ,471101001
뇌암산,강원도 삼척시  ,422305701
누운오름,제주도 제주시  ,491103604
눈오름,제주도 제주시  ,491103704
눌의산,충청북도 영동군 추풍령면 ,437400801
느릅재,강원도 인제군  ,428107704
느림보강물길,충청북도 단양군  ,438002704
느지리오름,제주도 제주시  ,491100904
느태뒷산,경상남도 거제시 능포동 ,483106204
늑구리숲길,강원도 삼척시  ,422300203
능동산,경상남도 밀양시 산내면 ,482706201
능암덕산,강원도 영월군 영월읍 ,427500901
능천산,대구광역시 동구 안심2동 ,271400201
다가산,전라북도 전주시  ,451101001
다구리야산,경상남도 창원시마산합포구 진동면 ,481101104
다구리야산,경상남도 마산시  ,481503204
다랑쉬오름,제주도 제주시  ,491100304
다래오름,제주도 제주시  ,491102003
다래오름,제주도 서귀포시  ,491302104
다사매곡정수장,대구광역시 달성군  ,277104004
단봉산,경상남도 합천군 율곡면 ,488901501
단석산,경상북도 경주시 건천읍 ,471301101
단월산,경기도 양평군  ,418304801
단종장릉숲길,강원도 영월군  ,427505404
단지봉,경상남도 거창군  ,488807601
단풍산,강원도 영월군  ,427501001
달마산,전라남도 해남군 송지면 ,468200701
달바위봉,경상북도 봉화군  ,479205701
달봉산,경상북도 포항시남구 동해면 ,471104201
달봉산,경상북도 김천시  ,471501001
달봉산,경상북도 의성군 단촌면 ,477303301
달봉산,경상북도 봉화군 봉화읍 ,479200501
